연번,시도,시군구,선별진료소,전화번호,검체가능,위도,경도
451,전남,보성군,보성아산병원,061-850-3606,Y,,
452,전남,보성군,보성군보건소,061-850-5684,Y,,
453,전남,보성군,벌교삼호병원,061-859-5051,Y,,
454,전남,순천시,순천시보건소,061-749-6680,Y,,
455,전남,순천시,순천 성가롤로병원,061-720-2000,Y,,
456,전남,순천시,순천의료원,061-759-9440,Y,,
457,전남,신안군,신안군보건소,061-240-8084,Y,,
458,전남,신안군,신안대우병원,061-262-3301,N,,
459,전남,여수시,여천전남병원,061-690-6000,Y,,
460,전남,여수시,여수시보건소,061-659-4252,Y,,
461,전남,여수시,여수전남병원,061-640-7118,Y,,
462,전남,여수시,여수한국병원,061-689-9119,Y,,
463,전남,여수시,여수제일병원,061-689-8119,Y,,
464,전남,영광군,영광종합병원,061-350-8119,Y,,
465,전남,영광군,영광기독병원,061-350-3000,Y,,
466,전남,영광군,영광군보건소,061-350-5552,Y,,
467,전남,영암군,영암병원,061-470-7100,Y,,
468,전남,영암군,영암군보건소,061-470-6536,Y,,
469,전남,완도군,완도대성병원,061-553-1234,Y,,
470,전남,완도군,완도군보건의료원,061-550-6767,Y,,
471,전남,장성군,장성병원,061-390-9000,Y,,
472,전남,장성군,장성군보건소,061-390-8333,Y,,
473,전남,장흥군,장흥종합병원,061-862-8300,Y,,
474,전남,장흥군,장흥군보건소,061-860-6481,Y,,
475,전남,진도군,진도한국병원,061-542-7575,Y,,
476,전남,진도군,진도군보건소,061-540-6074,Y,,
477,전남,함평군,함평성심병원,061-324-0001,Y,,
478,전남,함평군,함평군보건소,061-320-2417,Y,,
479,전남,해남군,해남종합병원,061-536-4116,Y,,
480,전남,해남군,해남우리종합병원,061-530-7000,Y,,
481,전남,해남군,해남군보건소,061-531-3745,Y,,
482,전남,화순군,화순전남대학교병원,061-1899-0000,Y,,
483,전남,화순군,화순군보건소,061-379-5342,Y,,
484,경북,경산시,세명병원,053-819-8500,Y,,
485,경북,경산시,경산중앙병원,053-715-0119,Y,,
486,경북,경산시,경산시 보건소,053-810-6314,Y,,
487,경북,경주시,경주시 보건소,054-779-8573,Y,,
488,경북,고령군,고령군보건소,054-954-1300,Y,,
489,경북,고령군,고령영생병원,054-955-2661,Y,,
490,경북,구미시,구미순천향병원,054-468-9114,Y,,
491,경북,구미시,구미차병원,054-450-9700,Y,,
492,경북,구미시,구미시 구미보건소,054-480-4032,Y,,
493,경북,군위군 ,군위군보건소,054-383-4000,Y,,
494,경북,김천시,김천의료원,054-432-8901,Y,,
495,경북,김천시,김천제일병원,054-420-9440,Y,,
496,경북,김천시,김천시 보건소,054-433-4000,Y,,
497,경북,김천시,김천소년교도소 부속의원,054-429-5575,Y,,
498,경북,문경시,문경제일병원,054-550-7700,Y,,
499,경북,문경시,문경중앙병원,054-555-2011,Y,,
500,경북,문경시,문경시 보건소,054-555-2033,Y,,
501,경북,봉화군,봉화군 보건소,054-673-4000,Y,,
502,경북,봉화군,봉화해성병원,054-674-0011,Y,,
503,경북,상주시,상주성모병원,054-532-5001,Y,,
504,경북,상주시,상주시 보건소,054-535-4000,Y,,
505,경북,상주시,상주 적십자병원,054-534-3501,Y,,
506,경북,성주군,성주군보건소,054-933-2400,Y,,
507,경북,안동시,안동시보건소,"054-840-5999,5917",Y,,
508,경북,안동시,안동병원,054-840-1004,Y,,
509,경북,안동시,안동성소병원,054-850-8114,Y,,
510,경북,영덕군,영덕아산병원,054-730-0114,Y,,
511,경북,영덕군,영덕군보건소,054-730-6894,Y,,
512,경북,영양군 ,영양군보건소,054-680-5196,Y,,
513,경북,영주시,영주시보건소,054-631-4000,Y,,
514,경북,영주시,영주적십자병원,054-630-0100,Y,,
515,경북,영천시,영남대학교 영천병원,054-338-9000,Y,,
516,경북,영천시,영천시 보건소,054-339-7860,Y,,
517,경북,예천군,예천군보건소,054-650-8616,Y,,
518,경북,예천군,예천권병원,054-654-6611,Y,,
519,경북,울릉군,울릉군보건의료원,054-790-6871,Y,,
520,경북,울진군 ,울진군의료원,054-785-7015,Y,,
521,경북,의성군 ,의성군보건소,054-830-6660,Y,,
522,경북,의성군 ,공생병원,054-834-3881,Y,,
523,경북,청도군,청도군보건소(치매안심센터),"054-370-6566, 2673",Y,,
524,경북,청송군,청송군보건의료원,054-870-7100,Y,,
525,경북,청송군,경북북부제2교도소 부속의원,054-870-2575,Y,,
526,경북,칠곡군 ,칠곡군보건소,054-973-4000,Y,,
527,경북,포항시,포항시 북구보건소,054-270-4114,Y,,
528,경북,포항시,포항시 남구보건소,054-270-4004,Y,,
529,경북,포항시,포항세명 기독병원,054-275-0005,Y,,
530,경북,포항시,포항 성모병원,054-272-0151,Y,,
531,경남,거제시 ,의료법인 거붕백병원,055-733-0119,Y,,
532,경남,거제시 ,의료법인 대우병원,055-680-8119,Y,,
533,경남,거제시 ,거제시 보건소,055-639-6133,Y,,
534,경남,거제시 ,맑은샘병원,055-736-1004,Y,,
535,경남,거창군 ,거창적십자병원,055-944-3251,Y,,
536,경남,거창군 ,거창군 보건소,055-940-8337,Y,,
537,경남,고성군 ,고성군 보건소,055-670-4013,Y,,
538,경남,김해시,김해중앙병원,055-330-6007,Y,,
539,경남,김해시,조은금강병원,055-330-0300,Y,,
540,경남,김해시,갑을장유병원,055-310-6114,Y,,
541,경남,김해시,김해시 보건소,055-330-4483,Y,,
542,경남,남해군 ,의료법인이도의료 재단 남해병원,055-863-2201,Y,,
543,경남,남해군 ,남해군 보건소,055-860-8730,Y,,
544,경남,밀양시 ,밀양 윤병원,055-354-2200,N,,
545,경남,밀양시 ,밀양시 보건소,055-359-7015,Y,,
546,경남,사천시,삼천포서울병원,055-830-9009,Y,,
547,경남,사천시,사천시 보건소,055-831-3620,Y,,
548,경남,사천시,삼천포 제일병원,055-833-4400,Y,,
549,경남,산청군,산청군보건의료원,055-970-7500,Y,,
550,경남,양산시 ,양산부산대학교병원,055-360-1476,Y,,
551,경남,양산시 ,베데스다 병원,055-384-9911,Y,,
552,경남,양산시 ,웅상중앙병원,055-912-1032,N,,
553,경남,양산시 ,양산시 보건소,055-392-5220,Y,,
554,경남,의령군 ,의령병원,055-573-4100,Y,,
555,경남,의령군 ,의령군 보건소,055-570-4045,Y,,
556,경남,진주시,진주제일병원,055-756-2900,Y,,
557,경남,진주시,진주고려병원,055-751-2525,Y,,
558,경남,진주시,진주반도병원,055-749-0679,Y,,
559,경남,진주시,진주복음병원,055-749-7119,Y,,
560,경남,진주시,진주세란병원,055-760-7575,Y,,
561,경남,진주시,진주한일병원,055-750-1333,Y,,
562,경남,진주시,진주시 보건소,055-749-5714,Y,,
563,경남,창녕군,태황의료재단 한성병원,055-530-5000,Y,,
564,경남,창녕군,창녕군 보건소,055-530-6217,Y,,
565,경남,창원시 의창구,창원시 창원보건소,055-225-5744,Y,,
566,경남,창원시 마산합포구,SMG연세병원,055-240-7777,Y,,
567,경남,창원시 진해구,창원시 마산보건소,055-225-5944,Y,,
568,경남,창원시 진해구,창원시 진해보건소,055-225-6123,Y,,
569,경남,창원시 진해구,연세에스병원,055-548-7700,Y,,
570,경남,창원시 진해구,세광병원,055-540-3700,Y,,
571,경남,창원시 마산합포구,삼성창원병원,055-233-6121,Y,,
572,경남,창원시 성산구,마산의료원,055-249-1116,Y,,
573,경남,창원시 성산구,창원경상대학교병원,(주간) 055-214-1000 (야간) 055-214-2119,Y,,
574,경남,창원시 성산구,한마음창원병원,055-267-2000,Y,,
575,경남,창원시,창원파티마병원,055-270-1020,Y,,
576,경남,통영시 ,통영적십자병원,055-644-8901,Y,,
577,경남,통영시 ,통영시 보건소,055-650-6050,Y,,
578,경남,하동군 ,새하동병원,055-880-4200,Y,,
579,경남,하동군 ,하동군 보건소,055-882-4000,Y,,
580,경남,함안군,영동병원,055-586-2000,Y,,
581,경남,함안군,함안군 보건소,055-580-3113,Y,,
582,경남,함양군 ,함양성심병원,055-963-4322,Y,,
583,경남,함양군 ,함양군 보건소,055-960-5334,Y,,
584,경남,합천군 ,합천군 보건소,055-930-3683,Y,,
585,제주,서귀포,서귀포의료원,064-730-3000,Y,,
586,제주,서귀포,서귀포열린병원,064-762-8001,Y,,
587,제주,제주시,제주한라병원,064-740-5975,Y,,
588,제주,제주시,한마음병원,064-750-9119,Y,,
589,제주,제주시,한국병원,064-750-0119,Y,,
590,제주,제주시,중앙병원,064-786-7000,Y,,
